year,month,day,hour,minute,second,freq_MHz,utc_hr
2017,8,20,15,33,32.2,10000000.0057,15.55894444
2017,8,20,15,33,44.1,10000000.0042,15.56225
2017,8,20,15,33,56,10000000.0056,15.56555556
2017,8,20,15,34,7.9,10000000.0068,15.56886111
2017,8,20,15,34,19.8,10000000.0071,15.57216667
2017,8,20,15,34,31.6,10000000.0095,15.57544444
2017,8,20,15,34,43.5,10000000.0125,15.57875
2017,8,20,15,34,55.4,10000000.0122,15.58205556
2017,8,20,15,35,7.3,10000000.0136,15.58536111
2017,8,20,15,35,19.2,10000000.0136,15.58866667
2017,8,20,15,35,31.1,10000000.0137,15.59197222
2017,8,20,15,35,43,10000000.0117,15.59527778
2017,8,20,15,35,54.9,10000000.0106,15.59858333
2017,8,20,15,36,6.8,10000000.0112,15.60188889
